dataset,split,instance,assets,K,k_ratio,method,run,HV,IGD,PF_Overlap,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,Diversity,Spacing,Archive_Size,Archive_Diversity,Archive_Spacing,run_dir
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,6,1.0820729896325558,0.00487241296970747,0.9,0.8218655,100,1.0,1.0,1.7208456881689927e-16,1.1102230246251563e-15,1.7208456881689927e-16,1.1102230246251563e-15,1.227213741518559,0.005882277386335153,99,1.227213741518559,0.0058822773863351,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_006
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,4,1.0746239409413474,0.00607471639074082,0.8416666666666667,0.7197401,100,1.0,1.0,1.965094753586527e-16,1.1102230246251563e-15,1.965094753586527e-16,1.1102230246251563e-15,1.1989363827711939,0.005206333069180786,97,1.198936382771194,0.0052063330691807,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_004
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,26,1.0821624154768488,0.00559112272974753,0.9083333333333333,0.7171419,100,1.0,1.0,2.5868196473766153e-16,1.1102230246251563e-15,2.5868196473766153e-16,1.1102230246251563e-15,1.1770103842991018,0.005929386376677859,97,1.1770103842991018,0.0059293863766778,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_026
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,21,1.0824287744331589,0.004824785909023326,0.9333333333333333,0.6771794,100,1.0,1.0,3.5749181392930043e-16,1.1102230246251563e-15,3.5749181392930043e-16,1.1102230246251563e-15,1.2274581499594615,0.004872689476828664,96,1.2274581499594617,0.0048726894768286,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_021
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,16,1.076914042557131,0.005730254292578329,0.8583333333333333,0.6784912,100,1.0,1.0,2.9087843245179103e-16,1.1102230246251563e-15,2.9087843245179103e-16,1.1102230246251563e-15,1.2150975331214338,0.0059157974569299145,96,1.2150975331214338,0.0059157974569299,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_016
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,12,1.079448888350629,0.005895808965368684,0.8666666666666667,0.7278042,100,1.0,1.0,1.9984014443252816e-16,1.1102230246251563e-15,1.9984014443252816e-16,1.1102230246251563e-15,1.1541784670664537,0.005027756877102983,96,1.1541784670664537,0.0050277568771029,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_012
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,11,1.081111969495497,0.005380424179663371,0.9166666666666666,0.7157293,100,1.0,1.0,1.787459069646502e-16,1.1102230246251563e-15,1.787459069646502e-16,1.1102230246251563e-15,1.1980691403303765,0.005815900772635195,97,1.1980691403303765,0.0058159007726351,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_011
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,3,1.0833545952371417,0.005106267058342359,0.85,10.1566873,100,1.0,1.0,2.2648549702353194e-16,1.1102230246251563e-15,2.2648549702353194e-16,1.1102230246251563e-15,1.2272266540215953,0.008082683646064891,100,1.2272266540215953,0.0080826836460648,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_003
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,17,1.0822289787019945,0.005208904807846605,0.9083333333333333,0.6707097,100,1.0,1.0,1.831867990631508e-16,1.1102230246251563e-15,1.831867990631508e-16,1.1102230246251563e-15,1.226999382583272,0.005425760392083782,94,1.226999382583272,0.0054257603920837,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_017
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,22,1.0816904276332482,0.005293402634456704,0.8,10.0059672,100,1.0,1.0,2.4424906541753446e-16,1.1102230246251563e-15,2.4424906541753446e-16,1.1102230246251563e-15,1.1970777933107182,0.007599337767209514,100,1.1970777933107182,0.0075993377672095,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_022
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,27,1.0821667384485063,0.005570714629564668,0.8666666666666667,0.7112097,100,1.0,1.0,2.19824158875781e-16,1.1102230246251563e-15,2.19824158875781e-16,1.1102230246251563e-15,1.1778860117307433,0.006627160853063245,95,1.1778860117307433,0.0066271608530632,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_027
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,23,1.0815645486761798,0.0057201135126379405,0.8833333333333333,0.6799535,100,1.0,1.0,1.6986412276764895e-16,1.1102230246251563e-15,1.6986412276764895e-16,1.1102230246251563e-15,1.1773525278232382,0.006510812109017152,97,1.1773525278232382,0.0065108121090171,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_023
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,6,1.083197445853332,0.005277802539179142,0.875,8.5975628,100,1.0,1.0,2.4424906541753446e-16,1.1102230246251563e-15,2.4424906541753446e-16,1.1102230246251563e-15,1.2275678670553194,0.007721853110807644,100,1.2275678670553194,0.0077218531108076,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_006
