dataset,split,instance,assets,K,k_ratio,method,HV,IGD,PF_Overlap,EAF_Band_Width,PF_Drift,Runtime,PF_Overlap_tol_0_005,PF_Overlap_tol_0_02,Diversity,Spacing,Archive_Size,Feasible_Rate
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,1.0804804716067518,0.005882955154436673,0.8780555555555556,0.006538487292862749,0.01791142425510274,0.81473405,0.5688888888888889,0.9733333333333333,1.205777197193345,0.005783147727273609,96.06666666666666,1.0
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,1.0814061546778622,0.006095039160044438,0.8188888888888889,0.0050468872889032615,0.01734985016913714,8.067403046666668,0.5813888888888888,0.9775000000000001,1.2130620916747092,0.0078227532825057,99.9,1.0
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,MOEAD,0.9215033498952862,0.10071088903667992,0.3727777777777778,0.037473875610607665,0.07015640114719512,13.708501380000001,0.25055555555555553,0.47333333333333333,0.657344050382234,0.003562926571553304,85.5,1.0
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,GDE3,1.0665830838255363,0.025146551532430807,0.8733333333333334,0.012574025554834804,0.05885464850351958,3.1591019066666672,0.6211111111111112,0.9011111111111112,1.1838471228454481,0.004694107282114861,96.33333333333333,1.0
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,A_MPMO,1.0792502949882317,0.005908316561974708,0.8738888888888888,0.007690870331141451,0.015497688207330055,1.9122762066666668,0.5474999999999999,0.9725000000000001,1.201588450318201,0.005981777332348322,95.56666666666666,1.0
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,ECMADE_MOO,1.0713131133916627,0.012041394136978854,0.781388888888889,0.018106242580597294,0.02338369382335752,6.603313173333333,0.4905555555555556,0.8930555555555556,1.213053132711746,0.005216983053408857,93.46666666666667,1.0
Synthetic,train,syn_n50_k05_pathological_cov_normal_extreme_events_r02_s20260628,50,3,0.05,NSGAII,1.0689827448128435,0.008034137829276648,0.8427777777777777,0.007002996184347592,0.02207477454942879,0.7033970866666668,0.5036111111111111,0.9808333333333334,1.4042825482525942,0.006834459065584386,96.33333333333333,1.0
Synthetic,train,syn_n50_k05_pathological_cov_normal_extreme_events_r02_s20260628,50,3,0.05,SPEA2,1.068719682483361,0.007596349975649427,0.8363888888888888,0.006597035488182604,0.024887077040370822,7.721256269999999,0.5697222222222222,0.9869444444444445,1.4042825482525942,0.007948295986986683,100.0,1.0
Synthetic,train,syn_n50_k05_pathological_cov_normal_extreme_events_r02_s20260628,50,3,0.05,MOEAD,0.9535470416292963,0.21322222224693282,0.2216666666666667,0.07985425037432439,0.10585338800350867,14.231402176666666,0.1758333333333333,0.2938888888888889,0.5858463663101724,0.002027696656247831,83.1,1.0
Synthetic,train,syn_n50_k05_pathological_cov_normal_extreme_events_r02_s20260628,50,3,0.05,GDE3,1.0655300465748554,0.04321779095435353,0.7627777777777778,0.00604128174314894,0.04403228932203354,2.690988533333333,0.5716666666666667,0.7941666666666668,1.2042062321921787,0.003545338465888989,98.93333333333334,1.0
