method,windows,mean_annual_net_return,mean_sharpe,mean_sortino,mean_max_drawdown,mean_cvar95_loss,mean_rebalance_turnover,mean_runtime_sec,rank_return,rank_sharpe,rank_sortino,rank_mdd,rank_cvar,rank_turnover,stability_rank_score
NSGAII,33,0.3357443883004625,1.2665515259370308,2.0829580311029767,-0.16595743515999795,0.03405825379073563,0.5125656610364367,1.2394787727272727,2.0,2.0,3.0,1.0,4.0,1.0,2.1666666666666665
GDE3,33,0.333085131020864,1.2856362633762435,2.12207822370455,-0.16623063974429528,0.03393944609695807,0.5207474148377277,1.4153102703030302,3.0,1.0,1.0,2.0,2.0,5.0,2.3333333333333335
MOEAD,33,0.3469515003478094,1.266406186125736,2.087630469583325,-0.16950419727217264,0.03485828405362462,0.5136190565393655,7.279230972727273,1.0,3.0,2.0,6.0,6.0,2.0,3.3333333333333335
ECMADE_MOO,33,0.32603919588685304,1.2616425764171433,2.0709680899819816,-0.16706371949760815,0.03380085459490298,0.5238100791099045,4.322490933030303,5.0,4.0,4.0,3.0,1.0,6.0,3.8333333333333335
A_MPMO,33,0.33152344747867346,1.255430175272674,2.0677168737511735,-0.16735259495746227,0.034143477889461614,0.5201153483704903,2.1487346815151516,4.0,5.0,5.0,5.0,5.0,4.0,4.666666666666667
SPEA2,33,0.32512310224400437,1.2507117896532163,2.0610027668295836,-0.16713351913990032,0.03402730486431146,0.5147121588241519,3.978086693939394,6.0,6.0,6.0,4.0,3.0,3.0,4.666666666666667
