method,universe,window_id,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,runtime_sec,daily_return_days,cvar95_loss,mdd_from_daily_returns,rebalance_turnover
A_MPMO,NASDAQ100,window_001,1,60,10,755,124,0.285176647373238,0.284176647373238,0.665100996964928,0.662469019515087,0.429679248057567,1.40068511942321,2.28786965194098,-0.296653774862593,1,0.001,2.4080454,124,0.051775127976472234,-0.2966537748625929,1.0
A_MPMO,NASDAQ100,window_002,1,59,10,755,126,0.274435661590148,0.273435661590148,0.624186255532718,0.621638384209538,0.253900337485312,2.03796907385582,3.22097086776837,-0.1681973781122,1,0.001,2.2055783,126,0.03184624939017834,-0.16819737811219937,0.3518247601731289
A_MPMO,NASDAQ100,window_003,1,60,10,756,124,-0.480888875594865,-0.481888875594865,-0.736163108743485,-0.737194971732662,0.577989367316321,-2.01111952215953,-3.54720075013985,-0.486680561391191,1,0.001,2.2066354,124,0.07402842663827028,-0.4866805613911911,0.40726800530096235
A_MPMO,NASDAQ100,window_004,1,60,10,756,125,-0.120378109507447,-0.121378109507447,-0.227851567698601,-0.229620227918643,0.394584234452296,-0.460442278479418,-0.781386817371313,-0.326859901472384,1,0.001,2.3307518,125,0.04807618475953539,-0.3268599014723842,0.8313341078804843
A_MPMO,NASDAQ100,window_005,1,60,10,755,123,0.361781499351569,0.360781499351569,0.88259406530824,0.879762820532212,0.291693778104117,2.31617853652604,3.54202309517944,-0.180778463094231,1,0.001,2.2113977,123,0.03714317239113856,-0.18077846309423062,0.2631286870773213
A_MPMO,NASDAQ100,window_006,1,60,10,753,125,0.185091753943611,0.184091753943611,0.408263697523309,0.405869079028685,0.192983247433042,1.87044058259003,3.15364084298039,-0.0822002971896365,1,0.001,2.1889424,125,0.022594947617703885,-0.08220029718963617,0.8669944634257164
A_MPMO,NASDAQ100,window_007,1,60,10,752,124,0.335567561505374,0.334567561505374,0.800468228363465,0.797729615829046,0.178019842105636,3.39526500318525,6.06317654728979,-0.0678651125940353,1,0.001,1.9505295,124,0.019246321106406283,-0.06786511259403538,0.38001775627069057
A_MPMO,NASDAQ100,window_008,1,60,10,752,126,0.156060198052448,0.155060198052448,0.336475181521064,0.334164061124959,0.285981639288653,1.15622060030604,1.69043857476404,-0.134804135246737,1,0.001,2.0189921,126,0.04016870201922673,-0.13480413524673718,0.23119866362907152
A_MPMO,NASDAQ100,window_009,1,59,10,752,122,0.250008907660921,0.249008907660921,0.585554496386811,0.58293556794712,0.375204497252876,1.4140735361363,1.890729439746,-0.238824373123537,1,0.001,2.1770777,122,0.052742819756485974,-0.23882437312353655,0.4342498136097527
A_MPMO,NASDAQ100,window_010,1,60,10,750,126,-0.0919849844474308,-0.0929849844474308,-0.175508731531067,-0.177323761562173,0.187164934383201,-0.93735898548629,-1.24742559530376,-0.149473632071821,1,0.001,2.1868061,126,0.028809525141983486,-0.14947363207182085,0.4487436832083619
A_MPMO,NASDAQ100,window_011,1,60,10,751,123,0.0719029462945282,0.0709029462945282,0.152874219367449,0.150671752517431,0.318443116017893,0.604978357095861,0.965097769066591,-0.158961762364096,1,0.001,2.2029557,123,0.04315444714771161,-0.1589617623640952,0.6089133951643557
A_MPMO,NASDAQ100,window_001,2,60,10,755,124,0.263912881158376,0.262912881158376,0.609590788697478,0.60700376854812,0.394924765661738,1.40213404393844,2.21515298158392,-0.271992688653921,1,0.001,2.1570263,124,0.04846226742532583,-0.27199268865392057,1.0
A_MPMO,NASDAQ100,window_002,2,59,10,755,126,0.233082139170507,0.232082139170507,0.520491561941314,0.518026397662973,0.254804027858013,1.77217689849534,2.94270319767919,-0.177320847068793,1,0.001,2.0588848,126,0.031519796437665684,-0.17732084706879248,0.3198330172593188
A_MPMO,NASDAQ100,window_003,2,60,10,756,124,-0.481692079942024,-0.482692079942024,-0.736992067904037,-0.738022281274088,0.562327012329272,-2.08851301259119,-3.71918688229824,-0.488495247750867,1,0.001,2.189628,124,0.07196143250154785,-0.48849524775086706,0.49345859792815894
A_MPMO,NASDAQ100,window_004,2,60,10,756,125,-0.151387045503225,-0.152387045503225,-0.281744981836751,-0.28345027670141,0.393590864028023,-0.645695312307641,-1.05529895183678,-0.351081239937663,1,0.001,2.0460867,125,0.0490164193039233,-0.35108123993766294,0.7705597804832753
A_MPMO,NASDAQ100,window_005,2,60,10,755,123,0.346294323540725,0.345294323540725,0.838990739195839,0.836193267085246,0.291036805552985,2.24018973705825,3.40230203954181,-0.186457631803213,1,0.001,2.2449683,123,0.03729538752445383,-0.18645763180321306,0.2976774642667328
A_MPMO,NASDAQ100,window_006,2,60,10,753,125,0.210207177783818,0.209207177783818,0.469079181807184,0.466632972187859,0.195929926074098,2.06126753974877,3.63124279143179,-0.0778709755916717,1,0.001,2.2681885,125,0.021776435683507542,-0.07787097559167167,0.7739246106388642
A_MPMO,NASDAQ100,window_007,2,60,10,752,124,0.376900937418068,0.375900937418068,0.915517497003894,0.912691319341194,0.175334539055858,3.79882869918549,6.31529319543409,-0.0665667203441855,1,0.001,2.2123878,124,0.0197887944120676,-0.06656672034418543,0.2780532536019892
A_MPMO,NASDAQ100,window_008,2,60,10,752,126,0.149114586363361,0.148114586363361,0.320464332593037,0.318167103420311,0.287808343055686,1.10881301696691,1.62217817505419,-0.135402152184673,1,0.001,2.2052339,126,0.04042703680354094,-0.1354021521846731,0.2706657477431286
A_MPMO,NASDAQ100,window_009,2,59,10,752,122,0.221347465027906,0.220347465027906,0.511377131881934,0.508822167607522,0.390928597673647,1.24945629811318,1.67128326457853,-0.247942946233611,1,0.001,2.0447147,122,0.055569289798026146,-0.24794294623361113,0.5406953790343075
A_MPMO,NASDAQ100,window_010,2,60,10,750,126,-0.0553530182459848,-0.0563530182459848,-0.107642079863029,-0.109530373826537,0.192874549099926,-0.494198800753778,-0.653692189996581,-0.139389048025268,1,0.001,2.1895023,126,0.029343613732887668,-0.1393890480252683,0.427460086370214
A_MPMO,NASDAQ100,window_011,2,60,10,751,123,0.178784036598078,0.177784036598078,0.400725674641969,0.398292232452161,0.306156390385042,1.25367637835201,1.92879001184622,-0.159522609964149,1,0.001,2.1788737,123,0.04241156804566199,-0.1595226099641497,0.6592976548762188
A_MPMO,NASDAQ100,window_001,3,60,10,755,124,0.269430978744079,0.268430978744079,0.623904232484994,0.621305547927126,0.422534198068761,1.35768812437478,2.17532683312613,-0.287176496122548,1,0.001,2.1777034,124,0.05066630444289867,-0.2871764961225489,1.0
A_MPMO,NASDAQ100,window_002,3,59,10,755,126,0.215690009273901,0.214690009273901,0.477902198648378,0.47547181862983,0.263667030769637,1.61341917840806,2.58214596255157,-0.173731650225456,1,0.001,1.9457797,126,0.03316093847087246,-0.1737316502254559,0.38843644480074535
A_MPMO,NASDAQ100,window_003,3,60,10,756,124,-0.467284220374742,-0.468284220374742,-0.72192086830777,-0.722980684926698,0.544541903173217,-2.07290880855172,-3.65915295051155,-0.478896690629389,1,0.001,2.1082885,124,0.07044529005780474,-0.478896690629389,0.4606744351764347
