method,windows,mean_annual_net_return,mean_sharpe,mean_sortino,mean_max_drawdown,mean_annual_volatility,mean_rebalance_turnover,mean_runtime_sec,mean_RankScore,mean_WindowRank,first_place_windows
NSGAII,33,0.3357443883004625,1.2665515259370308,2.0829580311029767,-0.16595743515999795,0.2635270535908676,0.5125656610364367,1.2394787727272727,3.002164502164502,2.6515151515151514,11
GDE3,33,0.333085131020864,1.2856362633762435,2.12207822370455,-0.16623063974429528,0.26246268048903626,0.5207474148377277,1.4153102703030302,3.0757575757575757,2.8181818181818183,11
A_MPMO,33,0.33152344747867346,1.255430175272674,2.0677168737511735,-0.16735259495746227,0.26394656298116836,0.5201153483704903,2.1487346815151516,3.517316017316017,3.5606060606060606,4
SPEA2,33,0.32512310224400437,1.2507117896532163,2.0610027668295836,-0.16713351913990032,0.26315023757262485,0.5147121588241519,3.978086693939394,3.6948051948051948,3.727272727272727,3
MOEAD,33,0.3469515003478094,1.266406186125736,2.087630469583325,-0.16950419727217264,0.2675125610509429,0.5136190565393655,7.279230972727273,3.8203463203463204,4.181818181818182,1
ECMADE_MOO,33,0.32603919588685304,1.2616425764171433,2.0709680899819816,-0.16706371949760815,0.26110296669437827,0.5238100791099045,4.322490933030303,3.8896103896103895,4.0606060606060606,1
