universe,window_id,method,assets,K,train_days,test_days,runs,annual_net_return_mean,annual_net_return_std,sharpe_mean,sortino_mean,max_drawdown_mean,cvar95_loss_mean,rebalance_turnover_mean,gross_return_mean,runtime_sec_mean
NASDAQ100,window_001,A_MPMO,60,10,755,124,10,0.5794899514281249,0.04308468369956615,1.3488983414014029,2.142622941079396,-0.2717634739407433,0.048840745277788325,1.0,0.2531222951613034,2.16923113
NASDAQ100,window_002,A_MPMO,59,10,755,126,10,0.5148047046104776,0.0527508549704064,1.72447929241518,2.74132789048881,-0.1734377319319242,0.03323620977410029,0.3545439050534628,0.23160760551663348,2.09936221
NASDAQ100,window_003,A_MPMO,60,10,756,124,10,-0.728806315268294,0.013664801407463706,-2.030769166548437,-3.62505566180918,-0.4825163951988719,0.07144791846918118,0.4723245487221668,-0.47296600687758356,2.1412782800000003
NASDAQ100,window_004,A_MPMO,60,10,756,125,10,-0.2324103047359054,0.04110484855755238,-0.48758389580572314,-0.8288465857675774,-0.3215458454141731,0.04734782716265651,0.8103403879404956,-0.12224275196572543,2.0949529900000003
NASDAQ100,window_005,A_MPMO,60,10,755,123,10,0.7966391459849433,0.07698692851173775,2.222628265440443,3.354605885877838,-0.17608397070416698,0.03642742481128776,0.2934172391617564,0.3317945553024043,2.10469754
NASDAQ100,window_006,A_MPMO,60,10,753,125,10,0.4812996950047669,0.03725812077663999,2.057441914896941,3.543284370443196,-0.08044782140685797,0.02288029819721333,0.8213840981328218,0.21610331697997812,2.14940563
NASDAQ100,window_007,A_MPMO,60,10,752,124,10,0.8444406143257386,0.08066946970410699,3.5671225878932757,6.336127520352283,-0.0684945091930682,0.01911239019082488,0.3104466041044292,0.35223199442505926,2.0690924500000003
NASDAQ100,window_008,A_MPMO,60,10,752,126,10,0.3170097867697902,0.014401938243864518,1.0987953955517669,1.610883665881373,-0.1370204222900156,0.04076713769219677,0.2540628974666507,0.14859504200236429,2.11184391
NASDAQ100,window_009,A_MPMO,59,10,752,122,10,0.5461213913994941,0.05466889129099788,1.3507477009396731,1.818935394997132,-0.2375268503227213,0.05227598895125698,0.4693110126931467,0.2356886757256583,2.0606659
NASDAQ100,window_010,A_MPMO,60,10,750,126,10,-0.13980421867017379,0.04967346976845588,-0.6770769634466742,-0.9043979838506516,-0.1456048315800901,0.029350220120704113,0.4142578578551136,-0.07188654791357083,2.23390662
NASDAQ100,window_011,A_MPMO,60,10,751,123,10,0.2790477891849523,0.09778316548291474,0.9358547966433559,1.4619385382734784,-0.152205942933413,0.04285789614472443,0.6276198385625469,0.12789414824428202,2.26650225
NASDAQ100,window_001,ECMADE_MOO,60,10,755,124,10,0.5534217434930131,0.0714601069935623,1.341976796943168,2.103220787710008,-0.2557424281387358,0.04732203071957747,1.0,0.24271856018893048,4.21160115
NASDAQ100,window_002,ECMADE_MOO,59,10,755,126,10,0.5214447158269826,0.06883693260981665,1.719758260281404,2.7101948987635422,-0.1759303788152901,0.03418176506525712,0.3772406071760304,0.23418216043364848,4.45481979
NASDAQ100,window_003,ECMADE_MOO,60,10,756,124,10,-0.7100226417923218,0.01315512798821566,-2.0145771458329262,-3.564546146276902,-0.4670603602933017,0.06851722000761976,0.4825957544495358,-0.4553142031713274,4.31763812
NASDAQ100,window_004,ECMADE_MOO,60,10,756,125,10,-0.28743701446768827,0.05221265655004607,-0.6749337916452335,-1.1627050914181383,-0.3506526703921486,0.04774568772536755,0.7519014001405129,-0.1542347630386317,4.48447527
NASDAQ100,window_005,ECMADE_MOO,60,10,755,123,10,0.8463967142243567,0.08356747790171656,2.346203364291592,3.6092079636539736,-0.1656677042392008,0.0353772553975004,0.3843445982353778,0.34962485352291106,4.3202402399999995
NASDAQ100,window_006,ECMADE_MOO,60,10,753,125,10,0.4690309786024732,0.052801593855994894,2.079458765420452,3.617974864698045,-0.07818175222164186,0.021879675293085772,0.826403726264429,0.21100931081614252,4.246683089999999
NASDAQ100,window_007,ECMADE_MOO,60,10,752,124,10,0.9018509102986183,0.1656965677622239,3.7237857514269983,6.391096732165588,-0.06805250754822789,0.019643158078643214,0.32130761108282246,0.371878229660149,3.6290946699999997
NASDAQ100,window_008,ECMADE_MOO,60,10,752,126,10,0.3195416845735888,0.0359630463091075,1.156606345436167,1.66047738683107,-0.1322588802347185,0.03895396324162559,0.29436486510749293,0.1496173072503551,3.9410669499999997
NASDAQ100,window_009,ECMADE_MOO,59,10,752,122,10,0.5020331429154304,0.06216967368829359,1.297340603369316,1.723408237643405,-0.235959020067386,0.05103964724801589,0.4438043887753598,0.2184494730520441,4.03146735
NASDAQ100,window_010,ECMADE_MOO,60,10,750,126,10,-0.07947396918513376,0.05507632717557701,-0.3253657129767056,-0.42779923350103194,-0.1420815109577667,0.029144873053832322,0.444410786673909,-0.039949917418806664,4.06300582
NASDAQ100,window_011,ECMADE_MOO,60,10,751,123,10,0.2400675695120972,0.13459493662138977,0.8428067110349767,1.3030856326908997,-0.1536859457170339,0.04168249047587784,0.5889270759843591,0.11024461578026537,4.43963164
NASDAQ100,window_001,GDE3,60,10,755,124,10,0.5405458795598913,0.05451411166679488,1.315319320638461,2.0657620514872788,-0.25988225026982553,0.04777645643015745,1.0,0.2377621242046804,1.44192835
NASDAQ100,window_002,GDE3,59,10,755,126,10,0.5181186775063372,0.04755287739439763,1.713420024357752,2.723208736354174,-0.17251352822337268,0.0335470351872757,0.3724159864370903,0.23298458514686252,1.48790473
NASDAQ100,window_003,GDE3,60,10,756,124,10,-0.7197936757845006,0.0157846557602988,-1.984809104084304,-3.5295348071536283,-0.47738097410357216,0.0716378129790063,0.44387151160063476,-0.46448282933584933,1.4477151899999998
NASDAQ100,window_004,GDE3,60,10,756,125,10,-0.2740261391217888,0.020833048850024724,-0.6364899337631026,-1.0767584728163262,-0.33169004553109344,0.04750553492374721,0.7961202411976248,-0.1459541884532185,1.4465061799999999
