analysis,metric,metric_direction,paired_unit,paired_n,primary_method,baseline_method,alternative,zero_method,wins,ties,losses,median_difference,mean_difference,wilcoxon_statistic,raw_p_value,effect_size_paired_win_loss,difference_definition,multiplicity_scope,holm_adjusted_p_value,significant_0_05
real_market_official_20260808_secondary_endpoints,PF_Size_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,0,0,33,-189.8,-193.0969696969697,0.0,2.3283064365386963e-10,-1.0,ExperimentC_StabilityAware_ECMADE_MOO - HandCrafted_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,6.984919309616089e-10,True
real_market_official_20260808_secondary_endpoints,PF_Size_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,0,0,33,-95.1,-108.02424242424242,0.0,2.3283064365386963e-10,-1.0,ExperimentC_StabilityAware_ECMADE_MOO - MetaDesigned_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,6.984919309616089e-10,True
real_market_official_20260808_secondary_endpoints,HV_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,8,0,25,-0.008089610929640778,-0.011552029940866753,65.0,3.766384907066822e-05,-0.5151515151515151,ExperimentC_StabilityAware_ECMADE_MOO - BayesianConfig_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.00011299154721200466,True
real_market_official_20260808_secondary_endpoints,HV_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,8,0,25,-0.010382309895885289,-0.009179858485934134,71.0,6.846548058092594e-05,-0.5151515151515151,ExperimentC_StabilityAware_ECMADE_MOO - HandCrafted_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.00013693096116185188,True
real_market_official_20260808_secondary_endpoints,HV_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,8,0,25,-0.011431351183243121,-0.009499417174142925,87.0,0.0002902455162256956,-0.5151515151515151,ExperimentC_StabilityAware_ECMADE_MOO - MetaDesigned_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.0002902455162256956,True
real_market_official_20260808_secondary_endpoints,IGD_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,9,0,24,-0.0056866182411829,-0.007102696374662495,87.0,0.0002902455162256956,-0.45454545454545453,BayesianConfig_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.0005804910324513912,True
real_market_official_20260808_secondary_endpoints,IGD_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,7,0,26,-0.0052495546753738,-0.004851758756904009,106.0,0.001276291674003005,-0.5757575757575758,HandCrafted_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.001276291674003005,True
real_market_official_20260808_secondary_endpoints,IGD_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,6,0,27,-0.0070471939859265,-0.008535231883579604,58.0,1.7927261069417e-05,-0.6363636363636364,MetaDesigned_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,5.3781783208251e-05,True
real_market_official_20260808_secondary_endpoints,PF_Overlap_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,14,0,19,-0.016666666666666607,-0.09063131313131312,133.5,0.008622346313003999,-0.15151515151515152,ExperimentC_StabilityAware_ECMADE_MOO - BayesianConfig_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.008622346313003999,True
real_market_official_20260808_secondary_endpoints,PF_Overlap_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,7,0,26,-0.032500000000000084,-0.08856060606060608,76.0,0.0002579953593613436,-0.5757575757575758,ExperimentC_StabilityAware_ECMADE_MOO - HandCrafted_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.0007739860780840307,True
