"analysis","primary_method","baseline_method","metric","paired_n","alternative","wins","ties","losses","median_difference","mean_difference","wilcoxon_statistic","raw_p_value","effect_size_paired_win_loss","difference_definition","metric_direction","holm_adjusted_p_value","significant_0_05","multiplicity_scope"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","max_drawdown_mean","33","two-sided","16","0","17","-0.00017998530539099777","-0.0011062843376102181","267.0","0.8187158077489585","-0.030303030303030304","ECMADE_MOO - NSGAII; positive favors primary","higher is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","max_drawdown_mean","33","two-sided","16","0","17","-0.0003771103730031977","6.979964229218705e-05","280.0","1.0","-0.030303030303030304","ECMADE_MOO - SPEA2; positive favors primary","higher is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","annual_volatility_mean","33","two-sided","21","0","12","0.0037470199744110144","0.0028435962867900282","176.0","0.06256920890882611","0.2727272727272727","A_MPMO - ECMADE_MOO; positive favors primary","lower is better","0.2421449520625174","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","annual_volatility_mean","33","two-sided","18","0","15","0.00212370925563099","0.0013597137946579603","244.0","0.5249740977305919","0.09090909090909091","GDE3 - ECMADE_MOO; positive favors primary","lower is better","0.5249740977305919","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","annual_volatility_mean","33","two-sided","20","0","13","0.003968548806978389","0.006409594356564557","181.0","0.07673266180790961","0.21212121212121213","MOEAD - ECMADE_MOO; positive favors primary","lower is better","0.2421449520625174","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","annual_volatility_mean","33","two-sided","21","0","12","0.0022213832869852346","0.0024240868964893057","175.0","0.06000595656223595","0.2727272727272727","NSGAII - ECMADE_MOO; positive favors primary","lower is better","0.2421449520625174","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","annual_volatility_mean","33","two-sided","22","0","11","0.0021715145593648177","0.002047270878246531","170.0","0.04842899041250348","0.3333333333333333","SPEA2 - ECMADE_MOO; positive favors primary","lower is better","0.2421449520625174","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","rebalance_turnover_mean","33","two-sided","12","3","18","-0.005019628131607279","-0.0036947307394140237","216.0","0.7456546742469072","-0.2","A_MPMO - ECMADE_MOO; positive favors primary","lower is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","rebalance_turnover_mean","33","two-sided","12","3","18","-0.004824620738940133","-0.003062664272176687","208.0","0.6263462882488966","-0.2","GDE3 - ECMADE_MOO; positive favors primary","lower is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","rebalance_turnover_mean","33","two-sided","14","3","16","0.0","-0.01019102257053895","171.0","0.21293285302817822","-0.06666666666666667","MOEAD - ECMADE_MOO; positive favors primary","lower is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","rebalance_turnover_mean","33","two-sided","12","3","18","-0.0051913835119333784","-0.011244418073467682","173.0","0.22855282202363014","-0.2","NSGAII - ECMADE_MOO; positive favors primary","lower is better","1.0","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","rebalance_turnover_mean","33","two-sided","11","3","19","-0.01616943014244282","-0.009097920285752535","181.0","0.2988441474735737","-0.26666666666666666","SPEA2 - ECMADE_MOO; positive favors primary","lower is better","1.0","False","within analysis and metric across primary comparisons"
