universe,window_id,method,assets,K,train_days,test_days,annual_net_return_mean,annual_net_return_std,annual_volatility_mean,annual_volatility_std,sharpe_mean,sharpe_std,sortino_mean,sortino_std,max_drawdown_mean,max_drawdown_std,cvar95_loss_mean,cvar95_loss_std,rebalance_turnover_mean,rebalance_turnover_std,selected_holdings_mean,selected_holdings_std,average_pf_holdings_mean,average_pf_holdings_std,PF_Size_mean,PF_Size_std,HV_mean,HV_std,IGD_mean,IGD_std,PF_Overlap_mean,PF_Overlap_std,PF_Drift_mean,PF_Drift_std,Diversity_mean,Diversity_std,Runtime_mean,Runtime_std,runs
NASDAQ100,window_001,BayesianConfig_ECMADE_MOO,60,10,755,124,0.5647553431325604,0.05016952124322388,0.3969496055126608,0.019922720685411354,1.3304632575768227,0.06157788206319495,2.1154382284354414,0.10423160116399527,-0.2721647535849743,0.018796440349331988,0.049102401591398365,0.0019753063796187622,1.0,0.0,8.7,1.1595018087284061,8.951289167412009,0.5054117704539328,253.3,21.674613927101195,1.0273524656184603,0.013541106427712835,0.024229136495670902,0.014842028028992319,0.8925000000000001,0.05547911407696982,0.05503815474017572,0.0,1.1174617084355687,0.14931170419037143,9.658268880017568,0.15947055927966103,10
NASDAQ100,window_002,BayesianConfig_ECMADE_MOO,59,10,755,126,0.4927770261333948,0.033092074711703896,0.2651559715575681,0.013437892559389587,1.6541662734790201,0.11342243627969285,2.6409982614911325,0.20853116429920387,-0.17595086219942593,0.008826599230237773,0.03414722430407561,0.002342849374277999,0.36371292920054243,0.031596383086999406,9.7,0.6749485577105528,8.835780020713866,0.5317033657702284,270.1,31.72958661354836,1.013899878201847,0.013156149477261259,0.01545780469627483,0.009992943326111735,0.9075,0.05022326695078563,0.06823952674127337,0.0,1.1852209789126822,0.14166647308147648,9.858529119985178,0.29471071317071273,10
NASDAQ100,window_003,BayesianConfig_ECMADE_MOO,60,10,756,124,-0.7134178237130573,0.02076589414239877,0.5577952678329745,0.02468207862009863,-1.9516264863201158,0.06753792755641938,-3.4228173913259097,0.21766818310446126,-0.47014052167221143,0.01663716439969197,0.07183094511232366,0.003389649867371894,0.44361645932667654,0.052653300330958795,10.0,0.0,9.44305412046329,0.376380966422582,268.7,27.01460510333047,0.9667181880296593,0.01157483458224552,0.012303921388203033,0.00796878045189764,0.9125,0.07117293319621644,0.04617668073633343,0.0,1.2493073511425685,0.1086057835777218,9.786939879984129,0.15469397550572983,10
NASDAQ100,window_004,BayesianConfig_ECMADE_MOO,60,10,756,125,-0.25133522740095365,0.03290341383748489,0.38705813691417923,0.00806226890347485,-0.550857983528094,0.1089460460045821,-0.9362016351011642,0.18176195092685246,-0.3273231230938827,0.016240463535927237,0.047801564047063906,0.0012095049801023458,0.8040677736256601,0.025831260872120163,8.9,1.1972189997378648,9.023734764528106,0.4770822904997293,336.5,26.082135222749265,0.9102887289444503,0.0018013689177250529,0.0054848571645893535,0.001006294267088171,0.9741666666666667,0.014407002755433272,0.012117024231942669,0.0,1.3289427443747264,0.036512558036719794,10.203645940020214,0.1727689566255008,10
NASDAQ100,window_005,BayesianConfig_ECMADE_MOO,60,10,755,123,0.8146378210118217,0.06623189133001565,0.28164666750612943,0.0064231725902337685,2.261302199682919,0.09643082099180832,3.4591237578620366,0.17416528431577935,-0.16875085106639015,0.007739458158948841,0.036316172308401465,0.0006634489117831212,0.2929071899193164,0.03999536846252211,9.1,0.875595035770913,9.021049507981171,0.267593917454851,276.1,29.7375557539994,0.9601271232872712,0.002992298940067871,0.008980229017169005,0.00228678557359116,0.9408333333333333,0.023717082451262902,0.024024969334663127,0.0,1.242136442775617,0.0621319484779991,9.846631489996799,0.19507103287257727,10
NASDAQ100,window_006,BayesianConfig_ECMADE_MOO,60,10,753,125,0.5006539340302487,0.04177854205339354,0.20916700074065755,0.010619214748482148,2.0548142005425714,0.13314917607701626,3.6134238667645158,0.3012137560294582,-0.08760146570431397,0.006055845083939703,0.023504188878890976,0.0015043962401295125,0.8401301548099858,0.05118327933407201,9.1,1.286683937707919,9.087179833543086,0.4658767408323968,302.3,39.799637072605464,1.0423960663608445,0.0037553401355194566,0.007017498183698756,0.0022019271963615336,0.9633333333333333,0.05033836128921911,0.060477380546653914,0.0,1.350312037633119,0.03814181339032987,9.830859320005402,0.2323055283545735,10
NASDAQ100,window_007,BayesianConfig_ECMADE_MOO,60,10,752,124,0.7772748683338381,0.12105387763693304,0.17421704143757394,0.005828957568386428,3.3847780613770793,0.31379263998943724,6.0021851281039575,0.6581281708803792,-0.06534340693849416,0.0041002433833172555,0.019416121930174703,0.001023357348667235,0.30768217917114604,0.04064505758781215,9.5,0.8498365855987974,8.914299502725575,0.4130559925239024,223.5,14.57737973711325,1.1406339335285405,0.015446531182527654,0.01277343015172484,0.0077526828906217034,0.8775000000000001,0.08389164822540622,0.025648753183180224,0.0,0.8413233331010804,0.10156433176878357,9.641596359980758,0.12607392146535695,10
NASDAQ100,window_008,BayesianConfig_ECMADE_MOO,60,10,752,126,0.3305908670805736,0.02465965430615266,0.2970391521632666,0.010165078402206266,1.1150578970863179,0.04281994748576702,1.6483611599397612,0.07325533382093335,-0.1399127408638398,0.0035169420798464475,0.0416498262702327,0.001168892973422664,0.2826996885047591,0.04257412284980472,9.1,0.8755950357709131,8.819532057244917,0.4758317169339521,290.1,17.438463235044537,0.9730823430062923,0.001338288956227763,0.0061693205851206445,0.0010846403971063758,0.9666666666666666,0.0152145154862546,0.013046028944685432,0.0,1.3104998433956194,0.042932024175287284,9.905452779994812,0.17087410506598827,10
NASDAQ100,window_009,BayesianConfig_ECMADE_MOO,59,10,752,122,0.5510070533039816,0.04744919830981957,0.3753422538459822,0.009216689498326418,1.3604439232554664,0.08969730267650011,1.8344033057907,0.12906862310388031,-0.2400140633178101,0.003712046667192814,0.05236192405557359,0.0012031645115103424,0.46958184312233414,0.036550024617772243,10.0,0.0,8.595962802128359,0.4007027934968824,318.9,41.6185054993569,0.9889573177367174,0.002118333234574774,0.006085595281292473,0.0015571145485212415,0.9633333333333333,0.02263505420829263,0.02575485286772482,0.0,1.3145212950207008,0.04972703184350266,10.167533100000583,0.3654885974475848,10
NASDAQ100,window_010,BayesianConfig_ECMADE_MOO,60,10,750,126,-0.16733555875984912,0.04780311757199897,0.1971363946704235,0.00767518008798818,-0.8269730637070278,0.29204779665021824,-1.0974965964221446,0.38644428030009914,-0.15489136102301915,0.010199289383153346,0.030265968361680017,0.0009400004372907613,0.46438517807940094,0.031164264383008157,9.8,0.421637021355784,8.748485151043441,0.7149151448985095,268.4,37.845299135647835,1.0077819305656959,0.007234116329334304,0.012806544011007804,0.007925477567868523,0.8983333333333332,0.07262707042160445,0.0506316651565859,0.0,1.2654611648752343,0.09085743786276844,9.381529990001582,1.3554236616483593,10
