selector,groups,top1_hit_rate,top3_hit_rate,mean_C_ThetaRank,mean_C_regret,mean_C_LabelScore,mean_PF_Overlap,mean_PF_Drift,mean_HV,mean_IGD
ExperimentC_StabilityAware,29,0.0,0.06896551724137931,16.20689655172414,4.0810344827586205,15.798275862068966,0.41163251707479587,0.08255957973517888,0.9482729069700666,0.08255182427280562
C_Oracle,29,1.0,1.0,1.0,0.0,19.87931034482759,0.38475512243878063,0.09058203517041251,0.9421421950019448,0.0894414879827828
Standard_Label_Top1,29,0.0,,,15.17586206896552,4.703448275862069,0.5748758953856405,0.06636229806982408,0.9906589281443331,0.06282562684876561
All_Theta_Mean,29,,,12.5,,12.5,0.4707394046032539,0.07674201855454425,0.9618650478559314,0.07786486224822237
