method,instances,paired_units,runs,mean_HV,mean_IGD,mean_PF_Overlap,mean_PF_Drift,mean_Diversity,mean_Runtime,mean_PerformanceScore,mean_StabilityScore,mean_DiversityScore,mean_RuntimeScore,mean_J_stability,mean_J_performance,mean_EqualWeightedScore,mean_StabilityWeightedRank,mean_PerformanceRank,mean_EqualWeightedRank,mean_InstanceRankScore,mean_RankBasedCompositeRank,stability_first_place,performance_first_place,rankscore_first_place,mean_PF_Feasible_Rate,mean_Population_Feasible_Rate,max_PF_Max_Violation,max_Population_Max_Violation
ExperimentC_NoReplicate_ECMADE_MOO,32,32,960,1.0058216740637853,0.05289465990770079,0.6171617175427855,0.06024868893746056,0.846897347412792,3.396572733333333,0.6540956173316955,0.6490375410334661,0.6945392321364986,0.5279206672554305,0.6472907109508264,0.6483023262104722,0.6313982644392727,2.375,2.515625,2.4375,2.7109375,2.46875,12,3,12,1.0,1.0,9.547918011776352e-16,1.1176245114559919e-15
MetaDesigned_ECMADE_MOO,32,32,960,1.0083015670773507,0.0514683957934749,0.6684685372569171,0.05344182175858616,0.8240876519988772,3.5138253472916667,0.7336429949934746,0.7938444964808863,0.5444790728357449,0.41494184073452645,0.6910307708053691,0.6789904705078869,0.621727101261158,2.4375,2.296875,2.875,2.546875,2.46875,6,4,7,1.0,1.0,9.843977485009732e-16,1.1990408665951705e-15
BayesianConfig_ECMADE_MOO,32,32,960,0.9908266834689767,0.06355454652502708,0.6367715581175836,0.05411187423205147,0.7736503151839159,1.8570262461458333,0.41651949307073577,0.6493959351949129,0.23013154450266285,1.0,0.5423843530059274,0.4958090645810919,0.5740117431920778,2.96875,3.59375,2.875,2.9817708333333335,3.109375,5,0,4,1.0,1.0,8.881784197001258e-16,1.1250259982868264e-15
HandCrafted_ECMADE_MOO,32,32,960,0.9830176640163066,0.065505155791284,0.5962560430926632,0.06809144287635692,0.8047872872704201,2.9061435809375,0.457486874946258,0.41507407460676277,0.48864784660950267,0.6809331251714096,0.46697793414864924,0.4754604942165483,0.5105354803334833,3.375,3.40625,3.0,3.21875,3.203125,6,3,5,1.0,1.0,1.5987211554602255e-15,1.6135241291218942e-15
RandomConfig_ECMADE_MOO,32,32,960,0.996413836008244,0.06028021358203466,0.5889453493082639,0.07512179178044584,0.8418275945296968,5.0773678110416665,0.4556709645711752,0.2602405604958148,0.7016869256115534,0.0822446670119818,0.3795878451894193,0.4186739260044914,0.3749607794226313,3.84375,3.1875,3.8125,3.5416666666666665,3.75,3,5,4,1.0,1.0,1.043609643147648e-15,1.1509312021947465e-15
