method,windows,mean_annual_net_return,mean_annual_volatility,mean_sharpe,mean_sortino,mean_max_drawdown,mean_cvar95_loss,mean_rebalance_turnover,mean_selected_holdings,mean_average_pf_holdings,mean_PF_Size,mean_HV,mean_IGD,mean_PF_Overlap,mean_PF_Drift,mean_Diversity,mean_Runtime,mean_RankScore,mean_WindowRank,first_place_windows,overall_rank_annual_net_return,overall_rank_sharpe,overall_rank_sortino,overall_rank_max_drawdown,overall_rank_annual_volatility,overall_rank_cvar95_loss,overall_rank_rebalance_turnover,overall_rank_average_pf_holdings,overall_rank_PF_Overlap,overall_rank_PF_Drift,overall_rank_Runtime,overall_RankScore
HandCrafted_ECMADE_MOO,33,0.3259524987349218,0.25877551488971384,1.2873070982470605,2.1354498209388555,-0.16430583510853863,0.033606190001384706,0.5174455106573621,9.606060606060606,9.097973852745152,293.0393939393939,0.9975417066951483,0.016993823777025917,0.919040404040404,0.05371896725433206,1.2503971203048543,4.263443840300368,2.264462809917355,1.9848484848484849,14,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.7272727272727273
BayesianConfig_ECMADE_MOO,33,0.33259341240064155,0.26329511188209315,1.2666692716850767,2.1121506009145987,-0.1669698317293478,0.034174490122029264,0.517833519163085,9.409090909090908,9.109193452527046,284.8030303030303,0.9999138781500809,0.014742886159267426,0.9211111111111112,0.036648936180057726,1.2305503824500401,9.355984959693867,2.566115702479339,2.6666666666666665,5,2.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,2.5454545454545454
ExperimentC_StabilityAware_ECMADE_MOO,33,0.33618417965263087,0.2636616083047482,1.2625688677895572,2.076556354271951,-0.16685201857087256,0.034017693182313985,0.5321704351197484,9.463636363636365,8.91072684045821,99.94242424242424,0.9883618482092141,0.02184558253392992,0.830479797979798,0.05416874374107483,1.225073720139905,3.400286005454545,2.3732782369146004,2.272727272727273,9,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,2.727272727272727
MetaDesigned_ECMADE_MOO,33,0.3163603455371468,0.26140848041632936,1.2408008092483187,2.056956288124836,-0.16650817912246044,0.0339955298143703,0.5381257615639304,9.281818181818181,8.977935339766796,207.96666666666667,0.9978612653833572,0.01331035065035032,0.907550505050505,0.05255275535519768,1.290133916761682,10.07615529727226,2.796143250688705,3.0757575757575757,2,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0
