split,instance,K,method,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_084,1.092163537021846,0.015698639954658266,0.7897222222222222,0.024799570669232898,1.0210427319198867,3.1211321733333337
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_086,1.092163537021846,0.015698639954658266,0.7897222222222222,0.024799570669232898,1.0210427319198867,3.061009746666666
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_089,1.092163537021846,0.015698639954658266,0.7897222222222222,0.024799570669232898,1.0210427319198867,4.1493317733333335
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_118,1.0853219050240184,0.021832980052717076,0.8136111111111112,0.02557510084057831,1.0601286981106317,3.9324471066666664
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_131,1.0853219050240184,0.021832980052717076,0.8136111111111112,0.02557510084057831,1.0601286981106317,3.8209299533333327
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_132,1.0853219050240184,0.021832980052717076,0.8136111111111112,0.02557510084057831,1.0601286981106317,3.908895463333334
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_144,1.095546920451116,0.014042423935877428,0.8261111111111111,0.020968794491205766,1.0275587894646985,5.595559123333334
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_159,1.095546920451116,0.014042423935877428,0.8261111111111111,0.020968794491205766,1.0275587894646985,4.483186186666667
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_164,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,3.861625306666667
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_170,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,4.3001401066666665
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_175,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,4.097053466666668
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_189,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,4.564226363333333
