split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.026754666812068163,1.0476901395408467,0.012899162336261297,0.848888888888889,1.1607953066195245,2.556757423333333,100.0,1.0,1.0,3.529398995283373e-16,1.3507713466272737e-15,3.529398995283373e-16,1.3507713466272737e-15
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.029209338169530634,1.0020956533596304,0.01760417183976794,0.8402777777777778,1.3112919185962582,2.7160202199999994,100.0,1.0,1.0,3.6382008516966376e-16,1.3285668861347707e-15,3.6382008516966376e-16,1.3285668861347707e-15
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.0466847771586124,1.097998310618015,0.01615191123570748,0.8633333333333334,0.8965930717855279,1.9509815166666666,100.0,1.0,1.0,4.2443826231419734e-16,1.5950204120448083e-15,4.2443826231419734e-16,1.5950204120448083e-15
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.04155579214226761,0.9893394867724972,0.014900893035119229,0.8344444444444445,1.1288767144902085,1.982953786666667,100.0,1.0,1.0,3.9094653440467173e-16,1.3248661427193535e-15,3.9094653440467173e-16,1.3248661427193535e-15
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.022117548214084945,1.075930058274864,0.007325956656935049,0.9733333333333335,0.93423389594806,1.9451244233333334,100.0,1.0,1.0,3.694452151610979e-16,1.2286468139185065e-15,3.694452151610979e-16,1.2286468139185065e-15
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.019819251850777552,1.1842473594968645,0.01895209014840119,0.9344444444444445,0.46477484665405855,3.68734395,89.23333333333333,1.0,1.0,3.7692321600167214e-16,1.2471505309955924e-15,3.761805681771572e-16,1.2508512744110098e-15
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.15266253996717333,0.9678865197624383,0.07881024747207123,0.5277777777777779,0.914480947490181,3.5813033499999993,87.26666666666667,1.0,1.0,3.549102559498652e-16,1.1361282285330768e-15,3.53532018474804e-16,1.1694349192718315e-15
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.053265868818414774,0.8384609850188632,0.08372242777020365,0.5847222222222223,0.5901444071052443,3.73865244,78.03333333333333,1.0,1.0,2.1468079536600138e-16,9.02981393361794e-16,2.1908401019269756e-16,9.399888275159659e-16
test,syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734,10,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.10467976624356826,1.0146222165844512,0.11844210993050797,0.3541666666666667,0.8708440495522716,1.8628016366666666,96.26666666666667,1.0,1.0,4.535600420179905e-16,1.4802973661668755e-15,4.530820163495264e-16,1.4876988529977098e-15
test,syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733,10,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.052970594906197384,1.184760186970623,0.018324279123592493,0.7852777777777777,0.09975656067661344,2.04854839,96.76666666666667,1.0,1.0,2.412884706852007e-16,7.290464528371861e-16,2.389199948993337e-16,7.327471962526033e-16
