endpoint,direction,method_a,method_b,paired_units,median_oriented_difference,mean_oriented_difference,wins_a,ties,wins_b,wilcoxon_stat,two_sided_p_value,one_sided_greater_p_value,rank_biserial_correlation,vargha_delaney_A_oriented,holm_two_sided_p_value,significant_0_05
PerformanceScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0409852096062176,-0.15722455693620768,14,2,16,166.5,0.17421997909343834,0.9128900104532809,-0.2838709677419355,0.4033203125,0.9398008604928725,False
PerformanceScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.14530837634303984,15,3,14,152.0,0.1566334767488121,0.921683261625594,-0.30114942528735633,0.41064453125,0.9398008604928725,False
PerformanceScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.13187318193271647,-0.22987897928743228,6,2,24,88.5,0.003057280179120507,0.9984713599104398,-0.6193548387096774,0.31884765625,0.02751552161208456,True
PerformanceScore,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,0.0838902699166443,15,6,11,135.0,0.3152514398097992,0.1576257199048996,0.23076923076923078,0.6181640625,1.0,False
StabilityScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.11477694231350061,14,3,15,169.0,0.294290477011092,0.8528547614944539,-0.22298850574712645,0.3955078125,0.31589534878730774,False
StabilityScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.24073899521713393,-0.27987092262618407,12,3,17,96.0,0.008606650150543566,0.9956966749247282,-0.5586206896551724,0.259765625,0.0516399009032614,False
StabilityScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0344764104066895,0.11600796127394362,20,2,10,163.0,0.15794767439365387,0.07897383719682693,0.2989247311827957,0.60302734375,0.31589534878730774,False
StabilityScore,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.17679162541675408,0.26768176839223984,20,6,6,57.0,0.0017795562744140625,0.0008897781372070312,0.6752136752136753,0.72998046875,0.012456893920898438,True
DiversityScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.06175564885913326,-0.21887683797401142,13,2,17,145.0,0.07100156893828519,0.9644992155308574,-0.3763440860215054,0.33740234375,0.28400627575314075,False
DiversityScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0005280807006143307,-0.024505552185276697,16,3,13,209.0,0.8540248414769214,0.5729875792615393,-0.03908045977011494,0.50244140625,1.0,False
DiversityScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.5206770064154751,-0.5023357896339606,2,2,28,29.5,2.9605822131616476e-05,0.9999851970889342,-0.8731182795698925,0.15478515625,0.00029605822131616475,True
DiversityScore,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.05326227282679785,-0.18059917247849452,9,6,17,95.0,0.040867976063652924,0.9795660119681735,-0.4586894586894587,0.375,0.2043398803182646,False
RuntimeScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.039428387668111076,-0.02888564940404017,20,0,12,223.0,0.4540447914041579,0.22702239570207894,0.1553030303030303,0.5185546875,0.4540447914041579,False
RuntimeScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.7078361670133648,-0.6289700074633846,2,0,30,3.0,2.3283064365386963e-09,0.9999999993015081,-0.9886363636363636,0.01171875,1.6298145055770874e-08,True
