metric,direction,method_a,method_b,instances,median_oriented_difference,mean_oriented_difference,wilcoxon_stat,p_value,signed_rank_effect,holm_p_value,significant_0_05,wins_a,ties,wins_b
HV,max,GDE3,MetaTransfer_ECMADE_MOO,18,-0.644388197622598,-0.6533994594125561,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,GDE3,BayesianConfig_ECMADE_MOO,18,-0.7321524801552893,-0.7768550802959266,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,GDE3,ExperimentC_StabilityAware_ECMADE_MOO,18,-0.6432664533196719,-0.6578116399457207,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,GDE3,ExperimentC_GlobalTheta034_ECMADE_MOO,18,-0.6351571506093662,-0.6453332414698563,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,GDE3,ExperimentC_GlobalTheta037_ECMADE_MOO,18,-0.6351571506093662,-0.6462467029686466,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,GDE3,ECMADE_MOO,18,-0.7313735504886945,-0.7768725673274113,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,A_MPMO,RandomConfig_ECMADE_MOO,18,-0.0238833411074433,-0.0074568824431834,71.0,0.550872802734375,-0.1695906432748538,1.0,False,8,0,10
HV,max,A_MPMO,MetaTransfer_ECMADE_MOO,18,0.0099606620657946,0.0051403849695349,83.0,0.932281494140625,0.0292397660818713,1.0,False,10,0,8
HV,max,A_MPMO,BayesianConfig_ECMADE_MOO,18,-0.102755732490378,-0.1183152359138355,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,A_MPMO,ExperimentC_StabilityAware_ECMADE_MOO,18,-0.0106055203777122,0.0007282044363703,79.0,0.7987060546875,-0.0760233918128654,1.0,False,8,0,10
HV,max,A_MPMO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,-0.0292652720520459,0.0132066029122347,75.0,0.6705245971679688,0.1228070175438596,1.0,False,8,0,10
HV,max,A_MPMO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,-0.0292652720520459,0.0122931414134444,75.0,0.6705245971679688,0.1228070175438596,1.0,False,8,0,10
HV,max,A_MPMO,ECMADE_MOO,18,-0.1030136577977097,-0.1183327229453202,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
HV,max,RandomConfig_ECMADE_MOO,MetaTransfer_ECMADE_MOO,18,0.0034133160525317,0.0125972674127184,71.0,0.8175811767578125,0.0718954248366013,1.0,False,10,1,7
HV,max,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,18,-0.0826240495379186,-0.1108583534706521,8.0,0.0001907348632812,-0.9064327485380116,0.0082015991210937,True,2,0,16
HV,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,18,-0.0005695948380582,0.0081850868795537,64.0,0.860260009765625,-0.0588235294117647,1.0,False,7,2,9
HV,max,RandomConfig_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,-0.0002660177123479,0.0206634853554182,59.0,0.97796630859375,0.0166666666666666,1.0,False,6,3,9
HV,max,RandomConfig_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,-0.0008384662643893,0.0197500238566279,70.0,0.7819061279296875,-0.0849673202614379,1.0,False,6,1,11
HV,max,RandomConfig_ECMADE_MOO,ECMADE_MOO,18,-0.0826240495379186,-0.1108758405021367,4.0,0.000213623046875,-0.9411764705882352,0.008331298828125,True,2,2,14
HV,max,MetaTransfer_ECMADE_MOO,BayesianConfig_ECMADE_MOO,18,-0.1052823144022926,-0.1234556208833705,9.0,0.0002517700195312,-0.8947368421052632,0.0095672607421875,True,3,0,15
HV,max,MetaTransfer_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,18,-0.0054044330431095,-0.0044121805331646,71.0,0.550872802734375,-0.1695906432748538,1.0,False,8,0,10
HV,max,MetaTransfer_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0038576147170489,0.0080662179426997,70.0,0.522613525390625,0.1812865497076023,1.0,False,9,0,9
HV,max,MetaTransfer_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0032788929693494,0.0071527564439094,71.0,0.550872802734375,0.1695906432748538,1.0,False,9,0,9
HV,max,MetaTransfer_ECMADE_MOO,ECMADE_MOO,18,-0.1052823144022926,-0.1234731079148551,9.0,0.0002517700195312,-0.8947368421052632,0.0095672607421875,True,3,0,15
HV,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,18,0.1040682289414381,0.1190434403502058,8.0,0.0001907348632812,0.9064327485380116,0.0082015991210937,True,15,0,3
HV,max,BayesianConfig_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0877497815190202,0.1315218388260703,8.0,0.0001907348632812,0.9064327485380116,0.0082015991210937,True,15,0,3
HV,max,BayesianConfig_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0877497815190202,0.13060837732728,8.0,0.0001907348632812,0.9064327485380116,0.0082015991210937,True,15,0,3
HV,max,BayesianConfig_ECMADE_MOO,ECMADE_MOO,18,0.0,-1.748703148461243e-05,14.0,0.193359375,0.4909090909090909,1.0,False,8,8,2
HV,max,ExperimentC_StabilityAware_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0011164029096902,0.0124783984758644,63.0,0.54766845703125,0.1764705882352941,1.0,False,10,1,7
HV,max,ExperimentC_StabilityAware_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0,0.0115649369770741,45.0,0.6697998046875,0.1428571428571428,1.0,False,7,4,7
HV,max,ExperimentC_StabilityAware_ECMADE_MOO,ECMADE_MOO,18,-0.1040682289414381,-0.1190609273816905,10.0,0.0003280639648437,-0.8830409356725146,0.0114822387695312,True,4,0,14
HV,max,ExperimentC_GlobalTheta034_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0,-0.0009134614987903,7.0,0.296875,-0.5,1.0,False,2,11,5
HV,max,ExperimentC_GlobalTheta034_ECMADE_MOO,ECMADE_MOO,18,-0.0876787194123188,-0.1315393258575549,9.0,0.0002517700195312,-0.8947368421052632,0.0095672607421875,True,3,0,15
HV,max,ExperimentC_GlobalTheta037_ECMADE_MOO,ECMADE_MOO,18,-0.0876787194123188,-0.1306258643587646,10.0,0.0003280639648437,-0.8830409356725146,0.0114822387695312,True,4,0,14
IGD,min,NSGAII,SPEA2,18,-0.0019255094191496,-0.0007549541754196,72.0,0.5798416137695312,-0.1578947368421052,1.0,False,7,0,11
IGD,min,NSGAII,MOEAD,18,0.0400208539024624,0.0410418398013177,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,NSGAII,GDE3,18,0.5351741849786602,0.6075642187787534,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,NSGAII,A_MPMO,18,0.0214045719376459,0.0257478219178079,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,NSGAII,RandomConfig_ECMADE_MOO,18,0.0131943109870718,0.0469157792853458,46.0,0.0897674560546875,0.4619883040935672,1.0,False,10,0,8
IGD,min,NSGAII,MetaTransfer_ECMADE_MOO,18,0.0479676475964323,0.0473531501361272,34.0,0.0236740112304687,0.6023391812865497,0.4971542358398437,False,11,0,7
IGD,min,NSGAII,BayesianConfig_ECMADE_MOO,18,-0.0244829291169515,-0.0324994239234619,1.0,1.52587890625e-05,-0.9883040935672516,0.0005950927734375,True,1,0,17
IGD,min,NSGAII,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0406875916428982,0.0494296065013389,21.0,0.0033645629882812,0.7543859649122807,0.0908432006835937,False,12,0,6
IGD,min,NSGAII,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.05796466562729,0.0807169982909867,21.0,0.0033645629882812,0.7543859649122807,0.0908432006835937,False,12,0,6
IGD,min,NSGAII,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.05796466562729,0.0795702660342515,21.0,0.0033645629882812,0.7543859649122807,0.0908432006835937,False,12,0,6
IGD,min,NSGAII,ECMADE_MOO,18,-0.0244846502095734,-0.0326378807540205,1.0,1.52587890625e-05,-0.9883040935672516,0.0005950927734375,True,1,0,17
IGD,min,SPEA2,MOEAD,18,0.0426678629172571,0.0417967939767373,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,SPEA2,GDE3,18,0.53899149338583,0.608319172954173,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,SPEA2,A_MPMO,18,0.023242866335756,0.0265027760932275,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,SPEA2,RandomConfig_ECMADE_MOO,18,0.0149259519562034,0.0476707334607654,42.0,0.0599365234375,0.5087719298245614,0.9857177734375,False,11,0,7
IGD,min,SPEA2,MetaTransfer_ECMADE_MOO,18,0.0458817546255641,0.0481081043115468,34.0,0.0236740112304687,0.6023391812865497,0.4971542358398437,False,11,0,7
IGD,min,SPEA2,BayesianConfig_ECMADE_MOO,18,-0.0236636027397846,-0.0317444697480423,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,SPEA2,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0381703555353928,0.0501845606767586,13.0,0.00067138671875,0.847953216374269,0.02215576171875,True,15,0,3
IGD,min,SPEA2,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0548820747308327,0.0814719524664063,12.0,0.0005340576171875,0.8596491228070176,0.0186920166015625,True,15,0,3
IGD,min,SPEA2,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0548820747308327,0.0803252202096711,12.0,0.0005340576171875,0.8596491228070176,0.0186920166015625,True,15,0,3
IGD,min,SPEA2,ECMADE_MOO,18,-0.0236653238324064,-0.0318829265786008,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,MOEAD,GDE3,18,0.4882652314878484,0.5665223789774357,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,MOEAD,A_MPMO,18,-0.01652147272851,-0.0152940178835098,17.0,0.0015792846679687,-0.8011695906432749,0.0457992553710937,True,5,0,13
IGD,min,MOEAD,RandomConfig_ECMADE_MOO,18,-0.0264513724767654,0.005873939484028,82.0,0.8985748291015625,-0.0409356725146198,1.0,False,7,0,11
IGD,min,MOEAD,MetaTransfer_ECMADE_MOO,18,0.0098838805306815,0.0063113103348095,82.0,0.8985748291015625,0.0409356725146198,1.0,False,10,0,8
IGD,min,MOEAD,BayesianConfig_ECMADE_MOO,18,-0.0663190179311388,-0.0735412637247797,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,MOEAD,ExperimentC_StabilityAware_ECMADE_MOO,18,-0.0105489850293348,0.0083877667000212,79.0,0.7987060546875,0.0760233918128654,1.0,False,8,0,10
IGD,min,MOEAD,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0230958054556752,0.0396751584896689,54.0,0.1814651489257812,0.3684210526315789,1.0,False,11,0,7
IGD,min,MOEAD,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0230958054556752,0.0385284262329337,55.0,0.1963882446289062,0.3567251461988304,1.0,False,11,0,7
IGD,min,MOEAD,ECMADE_MOO,18,-0.066253926482764,-0.0736797205553382,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,A_MPMO,18,-0.5061083634421165,-0.5818163968609456,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,RandomConfig_ECMADE_MOO,18,-0.5398982694916615,-0.5606484394934076,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,MetaTransfer_ECMADE_MOO,18,-0.5370776538368514,-0.5602110686426262,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,BayesianConfig_ECMADE_MOO,18,-0.5748335145711978,-0.6400636427022154,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,ExperimentC_StabilityAware_ECMADE_MOO,18,-0.527334072868881,-0.5581346122774145,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,ExperimentC_GlobalTheta034_ECMADE_MOO,18,-0.5186772531346757,-0.5268472204877668,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,ExperimentC_GlobalTheta037_ECMADE_MOO,18,-0.5191607868610744,-0.527993952744502,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,GDE3,ECMADE_MOO,18,-0.5742620322621046,-0.640202099532774,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,A_MPMO,RandomConfig_ECMADE_MOO,18,-0.005332541976112,0.0211679573675379,63.0,0.3465499877929687,0.2631578947368421,1.0,False,9,0,9
IGD,min,A_MPMO,MetaTransfer_ECMADE_MOO,18,0.0253696279889706,0.0216053282183193,54.0,0.1814651489257812,0.3684210526315789,1.0,False,10,0,8
IGD,min,A_MPMO,BayesianConfig_ECMADE_MOO,18,-0.0448356177342122,-0.0582472458412698,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,A_MPMO,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0209741922552558,0.023681784583531,42.0,0.0599365234375,0.5087719298245614,0.9857177734375,False,11,0,7
IGD,min,A_MPMO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0316571947125195,0.0549691763731788,32.0,0.0182342529296875,0.6257309941520468,0.4193878173828125,False,12,0,6
IGD,min,A_MPMO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0316571947125195,0.0538224441164436,33.0,0.02081298828125,0.6140350877192983,0.4578857421875,False,12,0,6
IGD,min,A_MPMO,ECMADE_MOO,18,-0.0449533205437086,-0.0583857026718284,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,RandomConfig_ECMADE_MOO,MetaTransfer_ECMADE_MOO,18,-0.0090269727380511,0.0004373708507814,62.0,0.51708984375,-0.1895424836601307,1.0,False,7,1,10
IGD,min,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,18,-0.0380238946931555,-0.0794152032088078,9.0,0.0002517700195312,-0.8947368421052632,0.0093154907226562,True,2,0,16
IGD,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0025493546438473,0.0025138272159931,59.0,0.668548583984375,0.1323529411764706,1.0,False,10,2,6
IGD,min,RandomConfig_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0102962607945378,0.0338012190056408,16.0,0.01025390625,0.7333333333333333,0.24609375,False,13,3,2
IGD,min,RandomConfig_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0098127270681393,0.0326544867489056,30.0,0.02667236328125,0.6078431372549019,0.50677490234375,False,13,1,4
IGD,min,RandomConfig_ECMADE_MOO,ECMADE_MOO,18,-0.0380238946931555,-0.0795536600393663,5.0,0.00030517578125,-0.9264705882352942,0.010986328125,True,2,2,14
IGD,min,MetaTransfer_ECMADE_MOO,BayesianConfig_ECMADE_MOO,18,-0.0621207624193428,-0.0798525740595892,13.0,0.00067138671875,-0.847953216374269,0.02215576171875,True,4,0,14
IGD,min,MetaTransfer_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0057240453492578,0.0020764563652117,80.0,0.83172607421875,0.0643274853801169,1.0,False,9,0,9
IGD,min,MetaTransfer_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0175397599308055,0.0333638481548594,15.0,0.0010452270507812,0.8245614035087719,0.0313568115234375,True,15,0,3
IGD,min,MetaTransfer_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.017056226204407,0.0322171158981242,18.0,0.0019302368164062,0.7894736842105263,0.054046630859375,False,15,0,3
IGD,min,MetaTransfer_ECMADE_MOO,ECMADE_MOO,18,-0.0621207624193428,-0.0799910308901477,13.0,0.00067138671875,-0.847953216374269,0.02215576171875,True,4,0,14
IGD,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0590065096693482,0.0819290304248009,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,BayesianConfig_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0752439933054508,0.1132164222144486,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,BayesianConfig_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0752439933054508,0.1120696899577134,0.0,7.62939453125e-06,1.0,0.0005035400390625,True,18,0,0
IGD,min,BayesianConfig_ECMADE_MOO,ECMADE_MOO,18,0.0,-0.0001384568305585,15.0,0.232421875,0.4545454545454545,1.0,False,7,8,3
IGD,min,ExperimentC_StabilityAware_ECMADE_MOO,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0027209501141028,0.0312873917896477,35.0,0.050537109375,0.5424836601307189,0.90966796875,False,12,1,5
IGD,min,ExperimentC_StabilityAware_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0027209501141028,0.0301406595329125,22.0,0.0579833984375,0.580952380952381,0.9857177734375,False,10,4,4
IGD,min,ExperimentC_StabilityAware_ECMADE_MOO,ECMADE_MOO,18,-0.0590065096693482,-0.0820674872553594,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,ExperimentC_GlobalTheta034_ECMADE_MOO,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0,-0.0011467322567352,5.0,0.15625,-0.6428571428571429,1.0,False,2,11,5
IGD,min,ExperimentC_GlobalTheta034_ECMADE_MOO,ECMADE_MOO,18,-0.0752457143980726,-0.1133548790450072,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
IGD,min,ExperimentC_GlobalTheta037_ECMADE_MOO,ECMADE_MOO,18,-0.0752457143980726,-0.112208146788272,0.0,7.62939453125e-06,-1.0,0.0005035400390625,True,0,0,18
PF_Overlap,max,NSGAII,SPEA2,18,0.0068965517241379,0.011226747797983,32.0,0.216552734375,0.3904761904761905,1.0,False,9,4,5
PF_Overlap,max,NSGAII,MOEAD,18,0.0563664790494058,0.0754033960950992,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
