split,instance,K,method,HV_mean,HV_std,IGD_mean,IGD_std,PF_Overlap_mean,PF_Overlap_std,PF_Drift_mean,PF_Drift_std,Diversity_mean,Diversity_std,Runtime_mean,Runtime_std,PF_Size_mean,PF_Size_std,runs
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,SelectorAblation_FullSelector_ECMADE_MOO,1.033787485884303,0.04249560033288417,0.02294173163924442,0.038194516841879494,0.7563888888888889,0.3447171318947048,0.029379952494393527,0.0,1.1906768184983827,0.04058801528237117,5.586352146666667,1.120946493387233,100.0,0.0,30
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,SelectorAblation_FullSelector_ECMADE_MOO,0.9718562092328196,0.06925757781115642,0.030986182323073496,0.06289396857562268,0.6727777777777778,0.31758738904546446,0.033991012681238844,0.0,1.3397540538578068,0.06974559049219593,4.254239023333333,1.675114540329615,100.0,0.0,30
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,SelectorAblation_FullSelector_ECMADE_MOO,1.087947897181396,0.042414454603795004,0.021017155631636423,0.030229895001420808,0.8366666666666667,0.24563819451657753,0.04885041832573642,0.0,0.9344538388630614,0.10099347493017614,2.2259705733333335,0.5543878868869202,100.0,0.0,30
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,SelectorAblation_FullSelector_ECMADE_MOO,0.9805053409121598,0.037243646363847874,0.023493918586973733,0.024244002149049024,0.6827777777777778,0.2924900801714869,0.046894132088693,0.0,1.155919621399843,0.07701395069676784,2.154764796666667,0.5268126651669324,100.0,0.0,30
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,SelectorAblation_FullSelector_ECMADE_MOO,1.0587827522723792,0.08343756866177794,0.01989448121941142,0.04832870522275492,0.9280555555555556,0.22327975139242834,0.03809878153319356,0.0,0.9693202690125594,0.06941758326428296,2.5939357333333333,0.7339200137962877,100.0,0.0,30
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,SelectorAblation_FullSelector_ECMADE_MOO,1.1775544835581067,0.018989429088535282,0.025232589828458836,0.01222500557200625,0.8805555555555556,0.1593258867430598,0.053327766797621114,0.0,0.6014786679392532,0.2874255086127717,2.2777003833333334,0.49081339178066585,80.8,20.437288436108386,30
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,SelectorAblation_FullSelector_ECMADE_MOO,0.9709150558342671,0.06267418353208837,0.0691479418015298,0.08065750028333427,0.5141666666666667,0.2847509330445324,0.14290546288235623,0.0,1.0188007922387476,0.27218781455786795,1.9012667233333334,0.4348131561897638,85.83333333333333,15.058697414321463,30
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,SelectorAblation_FullSelector_ECMADE_MOO,0.8629356244876412,0.07734712199422611,0.07527995619041361,0.024808641935066968,0.4005555555555555,0.07244807009708283,0.05885800742962898,0.0,0.7245146054612174,0.1742681708614433,2.0625337,0.7699247986219869,61.3,13.149406699609079,30
test,syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734,10,SelectorAblation_FullSelector_ECMADE_MOO,1.016554312176413,0.05894406631286674,0.114686820909962,0.07962282903992686,0.3888888888888889,0.1683867181385342,0.10421137743408286,0.0,0.8653146934081513,0.25741616925162936,2.567164523333333,0.7237566958429817,96.26666666666667,8.08972670495855,30
test,syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733,10,SelectorAblation_FullSelector_ECMADE_MOO,1.1586007823306483,0.09541847838544425,0.03829526470120373,0.07956101295614326,0.6925,0.39767252695819705,0.10880975291428166,0.0,0.16246649303832109,0.332839119511483,2.472126093333333,0.6967509016772883,100.0,0.0,30
test,syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746,20,SelectorAblation_FullSelector_ECMADE_MOO,1.0058128092101644,0.04008576566558588,0.04047338514196644,0.028366577068347693,0.3597222222222222,0.3212395423207532,0.06886629733192422,0.0,1.0763391000871008,0.08830648715229729,2.4449839166666667,0.8699905047009451,87.56666666666666,13.22402029050463,30
test,syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745,20,SelectorAblation_FullSelector_ECMADE_MOO,1.1661544215806314,0.026361013205061512,0.0766961333993312,0.05693961887076153,0.42646048109965634,0.26430277790097595,0.07472340593170854,0.0,0.3490791135030479,0.22908453252308672,2.2408397133333335,0.7612631705389902,24.7,19.32150847255908,30
test,syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758,40,SelectorAblation_FullSelector_ECMADE_MOO,1.027658392659315,0.05501104366965893,0.08491478158082315,0.05854201405232613,0.12861111111111112,0.20308543553184613,0.11327303151822427,0.0,0.8915778183556894,0.19263535926752134,2.2148101833333333,0.6580176280203179,43.63333333333333,17.221645028024017,30
test,syn_n200_k20_low_corr_normal_low_vol_r01_s20260757,40,SelectorAblation_FullSelector_ECMADE_MOO,0.8057122549087566,0.09228663159410022,0.10276338565914157,0.03202485891378596,0.3080555555555556,0.061529177786066445,0.06103032486251844,0.0,0.6082990843571248,0.20089907616221586,2.52451506,0.6437315435778402,58.266666666666666,13.380204970682295,30
test,syn_n200_k30_high_corr_normal_low_vol_r03_s20260769,60,SelectorAblation_FullSelector_ECMADE_MOO,0.9531793078865036,0.0459796043370951,0.11048373849817045,0.036804313393434394,0.07416666666666667,0.11675591824162253,0.12663258012178877,0.0,0.890273472320506,0.23065101210196481,2.35558089,0.7627112798374389,60.266666666666666,20.505564145361628,30
test,syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770,60,SelectorAblation_FullSelector_ECMADE_MOO,0.8949764005938111,0.08879189600275061,0.07353280366629214,0.028372781848117888,0.2825,0.12811913008701267,0.08131663431882605,0.0,0.8807740298711775,0.221153522030491,2.42389157,0.8012066180918381,70.13333333333334,13.788384250153646,30
test,syn_n500_k05_low_corr_normal_low_vol_r01_s20260782,25,SelectorAblation_FullSelector_ECMADE_MOO,0.8530073791497109,0.08775538001198653,0.11781637405402019,0.04190551600011641,0.32701149425287357,0.0902140421474216,0.055726250533082694,0.0,0.6146101478572704,0.13930327622771857,3.14740346,0.9422558623932593,50.46666666666667,10.536417415517619,30
